,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.3125,2.7375,7.725,2.7375,7.725,[0]
1,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.4125,6.0125,32.9,6.0125,32.9,[0]
2,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.0375,10.075,75.1375,10.075,75.1375,[0]
3,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.3375,12.45,133.2,12.45,53.2,[0]
4,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.55,15.5125,205.225,15.5125,45.225,[0]
5,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.0875,17.7875,291.4625,17.7875,51.4625,[0]
6,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.3125,20.1125,386.675,20.1125,66.675,[0]
7,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.5375,23.1375,496.1625,23.1375,16.1625,[0]
8,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.45,24.875,617.5125,24.875,57.5125,[0]
9,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.6125,28.5375,752.125,28.5375,32.125,[0]
