,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.55,2.525,8.8,2.525,8.8,[0]
1,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.7375,6.45,34.2375,6.45,34.2375,[0]
2,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.1,8.9375,73.625,8.9375,73.625,[0]
3,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.8375,12.625,128.5875,12.625,48.5875,[0]
4,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.5375,15.75,201.825,15.75,41.825,[0]
5,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.4125,18.2625,288.375,18.2625,48.375,[0]
6,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.725,20.9375,386.1625,20.9375,66.1625,[0]
7,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.6625,25.2375,504.325,25.2375,24.325,[0]
8,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.7875,28.5375,639.9875,28.5375,79.9875,[0]
9,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.5625,32.45,795.4625,32.45,75.4625,[0]
